date,month,quarter,category,country,channel,customer_segment,units,order_value,discount_pct,final_value,rating,returned
2023-06-25,6,2,Electronics,UK,mobile,returning,2,503.41,12.0,885.54,3.9,0
2023-07-16,7,3,Home,UK,web,new,2,162.77,19.7,261.57,3.5,0
2024-06-21,6,2,Electronics,France,web,new,3,263.96,8.6,723.81,4.1,0
2024-05-17,5,2,Clothing,USA,web,vip,2,189.29,30.3,263.74,3.9,0
2024-08-02,8,3,Home,Germany,mobile,returning,2,450.81,4.2,864.18,4.4,0
2023-07-31,7,3,Electronics,USA,web,new,1,593.54,22.5,460.27,3.7,0
2024-09-07,9,3,Sports,France,web,returning,1,57.2,18.6,46.59,4.1,0
2023-12-15,12,4,Clothing,Japan,mobile,new,2,167.4,31.0,231.0,3.4,0
2023-07-05,7,3,Electronics,Germany,app,returning,4,385.79,14.3,1322.41,3.8,0
2024-02-03,2,1,Books,France,mobile,returning,1,14.01,2.9,13.61,5.0,0
2024-06-19,6,2,Sports,UK,web,vip,4,54.46,12.2,191.31,4.1,0
2024-08-07,8,3,Electronics,France,web,returning,4,255.1,15.8,859.41,3.1,1
2023-12-12,12,4,Sports,USA,web,returning,2,180.1,33.4,239.93,3.5,1
2024-01-02,1,1,Electronics,Japan,mobile,vip,1,730.06,15.4,617.66,3.8,0
2024-07-08,7,3,Books,UK,app,new,3,42.29,8.7,115.8,4.8,0
2024-12-31,12,4,Books,Japan,web,new,5,46.64,4.4,223.05,4.5,0
2023-06-17,6,2,Sports,Japan,web,new,3,45.4,4.9,129.49,5.0,0
2023-03-10,3,1,Clothing,France,web,new,2,36.23,20.1,57.88,3.8,0
2024-03-08,3,1,Sports,UK,app,returning,5,65.72,20.9,259.92,3.9,0
2024-01-27,1,1,Clothing,USA,web,returning,3,144.0,18.9,350.5,3.9,0
2024-05-27,5,2,Home,USA,mobile,new,1,390.77,12.3,342.66,4.0,0
2023-03-17,3,1,Home,Germany,app,vip,3,234.35,23.6,536.95,3.7,0
2023-09-08,9,3,Sports,Germany,app,vip,4,257.67,16.0,865.93,4.6,0
2023-01-07,1,1,Electronics,USA,mobile,new,1,688.23,6.2,645.55,3.9,0
2024-03-20,3,1,Electronics,Japan,web,new,3,345.89,9.8,936.32,3.9,0
2023-02-14,2,1,Clothing,USA,web,returning,2,51.51,24.6,77.7,3.9,0
2024-12-04,12,4,Home,Germany,web,returning,2,589.18,2.8,1145.72,4.3,0
2023-11-22,11,4,Electronics,Germany,web,returning,4,319.11,5.9,1200.87,4.5,0
2023-06-02,6,2,Clothing,UK,mobile,returning,2,69.16,24.7,104.15,3.8,0
2023-07-03,7,3,Home,UK,web,new,5,68.87,15.0,292.87,4.0,0
2023-04-23,4,2,Clothing,USA,app,new,3,248.43,30.0,522.01,3.5,0
2023-07-09,7,3,Clothing,France,mobile,returning,1,109.09,25.6,81.12,3.3,0
2023-10-18,10,4,Sports,Germany,web,returning,2,231.87,26.9,338.93,4.1,0
2023-11-09,11,4,Sports,USA,web,vip,5,245.89,7.4,1138.51,4.8,0
2023-07-21,7,3,Clothing,France,web,new,1,53.46,25.7,39.72,3.6,0
2024-04-07,4,2,Electronics,Germany,mobile,vip,2,289.42,12.8,504.56,4.0,0
2024-07-04,7,3,Clothing,USA,mobile,vip,1,173.72,30.8,120.19,3.9,1
2024-05-09,5,2,Sports,Japan,web,returning,1,207.79,19.2,167.98,4.4,0
2023-05-18,5,2,Electronics,UK,app,new,5,210.63,17.9,864.12,4.0,0
2024-04-28,4,2,Home,France,web,returning,3,234.3,10.5,629.2,4.1,0
2023-07-15,7,3,Clothing,Germany,app,returning,1,162.14,27.9,116.94,3.1,0
2023-03-14,3,1,Books,USA,web,new,1,9.07,0.8,9.0,5.0,0
2023-09-15,9,3,Clothing,UK,web,vip,1,48.83,18.0,40.05,4.7,0
2024-12-05,12,4,Electronics,USA,mobile,new,1,532.67,1.0,527.4,4.3,0
2024-02-05,2,1,Electronics,Japan,mobile,new,2,684.41,18.3,1118.58,3.4,1
2024-01-10,1,1,Books,Germany,app,returning,5,43.49,1.1,215.05,4.9,0
2023-12-16,12,4,Clothing,Germany,mobile,returning,2,295.21,28.3,423.23,3.7,1
2024-08-27,8,3,Clothing,USA,web,new,2,20.07,24.8,30.18,4.0,0
2024-08-06,8,3,Home,France,mobile,returning,1,87.92,17.5,72.55,4.0,0
2023-10-07,10,4,Clothing,UK,web,new,2,72.54,28.8,103.31,3.6,0
2024-06-06,6,2,Clothing,Germany,web,returning,1,109.86,37.3,68.86,3.5,1
2024-03-24,3,1,Sports,Japan,mobile,new,2,230.58,16.8,383.48,3.7,0
2023-11-14,11,4,Clothing,UK,mobile,new,2,283.05,20.1,452.11,3.9,0
2024-01-27,1,1,Books,France,mobile,returning,1,61.32,6.0,57.63,4.4,0
2023-06-01,6,2,Electronics,Japan,app,returning,3,807.08,8.0,2227.21,4.1,0
2023-04-03,4,2,Clothing,Germany,app,returning,1,153.94,14.7,131.39,4.4,0
2023-08-13,8,3,Clothing,USA,app,new,4,84.75,42.3,195.63,3.2,0
2024-10-23,10,4,Clothing,UK,web,new,1,162.98,8.0,149.99,4.3,0
2023-12-23,12,4,Sports,Japan,app,new,5,246.07,11.4,1090.63,4.5,0
2024-04-26,4,2,Home,Japan,app,new,2,449.28,7.0,835.26,4.3,0
2024-08-02,8,3,Electronics,USA,mobile,new,2,1164.73,10.2,2091.73,4.1,1
2023-08-08,8,3,Home,France,web,returning,2,105.91,2.9,205.59,4.1,0
