date,year,month,season,source,region,production_gwh,consumption_gwh,co2_tonnes,capacity_pct,spot_price_mwh,cost_usd_k
2022-01-01,2022,1,Winter,Solar,East,19.71,18.58,0.0,19.3,64.93,1279.83
2022-01-01,2022,1,Winter,Wind,East,48.75,42.8,0.0,82.5,64.93,3165.59
2022-01-01,2022,1,Winter,Gas,West,84.94,82.17,41.619,72.0,64.93,5514.94
2022-01-01,2022,1,Winter,Nuclear,East,56.68,55.79,0.68,88.7,64.93,3680.04
2022-01-01,2022,1,Winter,Coal,South,41.82,37.03,34.294,69.7,64.93,2715.49
2022-01-02,2022,1,Winter,Solar,East,17.43,15.08,0.0,15.4,61.75,1076.37
2022-01-02,2022,1,Winter,Wind,North,44.69,39.13,0.0,79.1,61.75,2759.65
2022-01-02,2022,1,Winter,Gas,East,79.66,76.21,39.031,66.6,61.75,4918.76
2022-01-02,2022,1,Winter,Nuclear,North,55.38,51.2,0.665,89.2,61.75,3419.9
2022-01-02,2022,1,Winter,Coal,East,61.8,58.67,50.676,62.9,61.75,3816.16
2022-01-03,2022,1,Winter,Solar,East,19.9,19.22,0.0,21.8,71.67,1426.07
2022-01-03,2022,1,Winter,Wind,West,51.1,44.35,0.0,80.0,71.67,3662.61
2022-01-03,2022,1,Winter,Gas,North,93.6,78.97,45.862,65.3,71.67,6708.02
2022-01-03,2022,1,Winter,Nuclear,West,55.1,46.44,0.661,78.5,71.67,3948.8
2022-01-03,2022,1,Winter,Coal,North,59.3,55.33,48.623,64.2,71.67,4249.73
2022-01-04,2022,1,Winter,Solar,South,18.09,16.03,0.0,18.9,62.39,1128.54
2022-01-04,2022,1,Winter,Wind,South,45.71,38.88,0.0,88.1,62.39,2852.14
2022-01-04,2022,1,Winter,Gas,South,90.8,80.09,44.49,79.7,62.39,5664.81
2022-01-04,2022,1,Winter,Nuclear,East,60.13,51.12,0.722,83.1,62.39,3751.82
2022-01-04,2022,1,Winter,Coal,North,53.49,47.04,43.858,55.7,62.39,3336.98
2022-01-05,2022,1,Winter,Solar,North,26.55,25.98,0.0,15.4,75.25,1998.02
2022-01-05,2022,1,Winter,Wind,East,46.67,45.7,0.0,77.8,75.25,3511.96
2022-01-05,2022,1,Winter,Gas,West,87.54,72.82,42.895,56.9,75.25,6587.42
2022-01-05,2022,1,Winter,Nuclear,East,60.39,50.85,0.725,82.7,75.25,4544.54
2022-01-05,2022,1,Winter,Coal,North,50.1,47.15,41.079,62.1,75.25,3769.77
2022-01-06,2022,1,Winter,Solar,North,19.41,16.34,0.0,25.9,59.92,1162.9
2022-01-06,2022,1,Winter,Wind,East,48.16,46.99,0.0,96.4,59.92,2885.5
2022-01-06,2022,1,Winter,Gas,South,80.98,66.91,39.679,83.9,59.92,4852.23
2022-01-06,2022,1,Winter,Nuclear,South,46.81,40.65,0.562,79.4,59.92,2805.11
2022-01-06,2022,1,Winter,Coal,North,43.12,38.47,35.355,67.9,59.92,2583.47
2022-01-07,2022,1,Winter,Solar,West,22.17,19.04,0.0,12.7,68.67,1522.24
2022-01-07,2022,1,Winter,Wind,West,45.41,44.76,0.0,88.4,68.67,3118.47
2022-01-07,2022,1,Winter,Gas,East,83.24,70.2,40.787,69.2,68.67,5716.0
2022-01-07,2022,1,Winter,Nuclear,South,56.32,53.25,0.676,90.8,68.67,3867.3
2022-01-07,2022,1,Winter,Coal,North,52.97,49.43,43.438,61.5,68.67,3637.63
2022-01-08,2022,1,Winter,Solar,East,22.59,20.16,0.0,22.6,55.42,1252.07
2022-01-08,2022,1,Winter,Wind,South,49.89,43.24,0.0,94.2,55.42,2765.08
2022-01-08,2022,1,Winter,Gas,East,87.73,76.97,42.987,66.1,55.42,4861.9
2022-01-08,2022,1,Winter,Nuclear,North,52.46,50.87,0.629,79.5,55.42,2907.12
2022-01-08,2022,1,Winter,Coal,East,51.88,43.01,42.541,52.0,55.42,2875.13
2022-01-09,2022,1,Winter,Solar,East,20.26,19.93,0.0,23.2,59.69,1209.38
2022-01-09,2022,1,Winter,Wind,East,55.43,50.05,0.0,83.2,59.69,3308.88
2022-01-09,2022,1,Winter,Gas,North,88.71,86.98,43.467,81.0,59.69,5295.01
2022-01-09,2022,1,Winter,Nuclear,South,54.04,53.0,0.648,84.7,59.69,3225.36
2022-01-09,2022,1,Winter,Coal,East,56.18,55.15,46.064,53.1,59.69,3353.1
2022-01-10,2022,1,Winter,Solar,South,21.75,20.72,0.0,17.2,68.63,1492.9
2022-01-10,2022,1,Winter,Wind,East,57.58,51.45,0.0,75.0,68.63,3951.93
2022-01-10,2022,1,Winter,Gas,South,87.81,79.76,43.028,67.8,68.63,6026.54
2022-01-10,2022,1,Winter,Nuclear,West,51.98,48.84,0.624,84.2,68.63,3567.16
2022-01-10,2022,1,Winter,Coal,West,46.19,40.6,37.873,54.0,68.63,3169.76
2022-01-11,2022,1,Winter,Solar,South,21.77,19.73,0.0,9.0,62.14,1352.59
2022-01-11,2022,1,Winter,Wind,South,51.8,43.26,0.0,78.7,62.14,3218.61
2022-01-11,2022,1,Winter,Gas,North,79.43,75.0,38.921,79.9,62.14,4935.8
2022-01-11,2022,1,Winter,Nuclear,South,54.19,51.28,0.65,85.5,62.14,3367.49
2022-01-11,2022,1,Winter,Coal,West,49.85,49.3,40.881,60.1,62.14,3097.98
2022-01-12,2022,1,Winter,Solar,South,21.09,18.59,0.0,29.3,62.87,1326.03
2022-01-12,2022,1,Winter,Wind,East,52.01,49.29,0.0,86.6,62.87,3269.8
2022-01-12,2022,1,Winter,Gas,West,73.2,69.72,35.868,72.6,62.87,4602.03
2022-01-12,2022,1,Winter,Nuclear,North,57.84,53.16,0.694,81.5,62.87,3636.6
2022-01-12,2022,1,Winter,Coal,North,51.2,46.17,41.981,56.7,62.87,3218.7
2022-01-13,2022,1,Winter,Solar,East,20.63,17.42,0.0,14.9,68.17,1406.02
2022-01-13,2022,1,Winter,Wind,North,49.5,42.32,0.0,80.0,68.17,3374.11
2022-01-13,2022,1,Winter,Gas,West,83.2,77.28,40.769,77.0,68.17,5671.86
2022-01-13,2022,1,Winter,Nuclear,North,60.82,55.91,0.73,79.6,68.17,4146.41
2022-01-13,2022,1,Winter,Coal,North,41.27,34.16,33.841,59.4,68.17,2813.31
2022-01-14,2022,1,Winter,Solar,South,15.52,14.51,0.0,26.4,63.76,989.5
2022-01-14,2022,1,Winter,Wind,West,53.47,47.29,0.0,82.9,63.76,3409.27
2022-01-14,2022,1,Winter,Gas,East,77.78,76.51,38.113,83.5,63.76,4959.3
2022-01-14,2022,1,Winter,Nuclear,West,63.48,57.36,0.762,77.2,63.76,4047.68
2022-01-14,2022,1,Winter,Coal,East,46.74,43.36,38.324,59.4,63.76,2979.9
2022-01-15,2022,1,Winter,Solar,South,19.69,17.43,0.0,23.7,64.12,1262.69
2022-01-15,2022,1,Winter,Wind,North,57.34,53.69,0.0,90.3,64.12,3676.56
2022-01-15,2022,1,Winter,Gas,East,80.72,76.49,39.554,74.2,64.12,5175.89
2022-01-15,2022,1,Winter,Nuclear,South,58.26,52.02,0.699,86.4,64.12,3735.73
