date,product,quantity,price,region,salesperson
2024-01-01,Tablet,18,867.2887250102775,West,Bob
2024-01-02,Monitor,12,223.29526950706497,North,Alice
2024-01-03,Laptop,2,582.4392864752549,West,Bob
2024-01-04,Tablet,10,569.0645193933423,North,Bob
2024-01-05,Tablet,4,1422.978118395598,West,Bob
2024-01-06,Monitor,14,1453.3141208564398,West,Bob
2024-01-07,Laptop,16,381.3651669114598,South,Alice
2024-01-08,Laptop,15,1995.7069215929896,North,Diana
2024-01-09,Tablet,8,606.8839271230415,South,Bob
2024-01-10,Phone,14,1955.5684160820406,North,Bob
2024-01-11,Tablet,8,880.9703253046395,South,Charlie
2024-01-12,Tablet,16,162.79639251104192,East,Bob
2024-01-13,Tablet,13,755.6353712506976,West,Charlie
2024-01-14,Tablet,18,1305.267554932591,North,Diana
2024-01-15,Monitor,15,1393.340357954057,North,Alice
2024-01-16,Laptop,13,1108.775708302559,West,Alice
2024-01-17,Monitor,9,950.7880126888741,North,Diana
2024-01-18,Monitor,15,1150.496869235523,North,Alice
2024-01-19,Monitor,13,1226.1237753708476,South,Diana
2024-01-20,Tablet,1,253.62132003215896,North,Diana
2024-01-21,Phone,7,802.3434665166685,East,Diana
2024-01-22,Laptop,9,560.1038827271092,East,Alice
2024-01-23,Phone,1,1625.965537121802,West,Charlie
2024-01-24,Monitor,12,993.571205447473,North,Diana
2024-01-25,Monitor,8,1968.5039677002017,West,Bob
2024-01-26,Phone,11,857.7664406446509,East,Alice
2024-01-27,Phone,19,1651.2205591168295,North,Diana
2024-01-28,Phone,17,1616.8557374706472,North,Diana
2024-01-29,Monitor,8,386.363333534316,West,Bob
2024-01-30,Monitor,3,1065.5776758073655,East,Charlie
2024-01-31,Laptop,3,1422.0443329026755,North,Charlie
2024-02-01,Laptop,1,1730.8817291460678,West,Charlie
2024-02-02,Monitor,5,719.321919883581,East,Diana
2024-02-03,Phone,10,518.4579903745419,West,Diana
2024-02-04,Phone,7,1451.184111632234,South,Diana
2024-02-05,Laptop,9,1638.0519876654594,North,Alice
2024-02-06,Monitor,7,762.4653758542858,South,Bob
2024-02-07,Laptop,9,282.73544707369945,East,Diana
2024-02-08,Laptop,8,1886.9942025302475,South,Bob
2024-02-09,Tablet,12,855.3868400662924,South,Bob
